username,rating,text,date,thumbsUp,replyContent,replyDate,translated_text,clean_text,sentiment,word_count
Pengguna Google,5,bagus ROUGEKILL,2025-10-27 16:47:42,0,,,bagus ROUGEKILL,bagus rougekill,Positif,2
Pengguna Google,5,game keren udah ga kikir,2025-10-27 16:24:45,0,,,game keren udah ga kikir,game keren udah ga kikir,Positif,5
Pengguna Google,5,bagus,2025-10-27 16:11:57,0,,,bagus,bagus,Positif,1
Pengguna Google,1,akhirnya berbenah 🤏,2025-10-27 16:08:43,0,,,akhirnya berbenah 🤏,akhir benah,Negatif,3
Pengguna Google,4,"gacha mahal, kontrol agak ngelag UI, gameplay, animasi, skill, desain, pergerakan, tampilan udah bagus",2025-10-27 15:55:27,0,,,"gacha mahal, kontrol agak ngelag UI, gameplay, animasi, skill, desain, pergerakan, tampilan udah bagus",gacha mahal kontrol ngelag ui gameplay animasi skill desain gera tampil udah bagus,Positif,14
Pengguna Google,5,"gamenya keren cuy, gachanya walaupun lumayan mahal tapi gampang dapetin char barunya",2025-10-27 15:29:04,0,,,"gamenya keren cuy, gachanya walaupun lumayan mahal tapi gampang dapetin char barunya",gamenya keren cuy gachanya walaupun lumayan mahal gampang dapetin char baru,Positif,12
Pengguna Google,4,"lagging di battle doang, tapi di lobby lancar jaya, ba malah lag di lobby lancar di battle🤣🤣",2025-10-27 15:28:59,0,,,"lagging di battle doang, tapi di lobby lancar jaya, ba malah lag di lobby lancar di battle🤣🤣",lagging battle doang lobby lancar jaya ba malah lag lobby lancar di battle,Positif,17
Pengguna Google,3,perbaiki sistem gachanya,2025-10-27 15:18:48,0,,,perbaiki sistem gachanya,baik sistem gachanya,Netral,3
Pengguna Google,4,"overall semua yang ada di game udh bagus seperti UI mudah, tutorialnya jelas, gameplay simple dan menantang dan storynya cukup menarik. jadi, saya beri nilai 8/10. untuk player f2p sistem gacha di game ini agak berat ya, karena pity rate on nya cukup tinggi jadi harus benar-benar paham karakter apa yg cocok untuk di tim. semoga kedepannya developer mendengar keluhan ini, dengan dibanyakin event dan bansosnya. note : tolong bonus currency dari topup nya agak ditambahin ya, agak mahal soalnya.",2025-10-27 15:17:57,0,,,"overall semua yang ada di game udh bagus seperti UI mudah, tutorialnya jelas, gameplay simple dan menantang dan storynya cukup menarik. jadi, saya beri nilai 8/10. untuk player f2p sistem gacha di game ini agak berat ya, karena pity rate on nya cukup tinggi jadi harus benar-benar paham karakter apa yg cocok untuk di tim. semoga kedepannya developer mendengar keluhan ini, dengan dibanyakin event dan bansosnya. note : tolong bonus currency dari topup nya agak ditambahin ya, agak mahal soalnya.",overall semua ada game udh bagus ui mudah tutorial jelas gameplay simple tantang storynya cukup tarik jadi beri nilai player fp sistem gacha game berat karena pity rate on nya cukup tinggi jadi benar benar paham karakter apa yg cocok di tim moga depan developer dengar keluh dengan dibanyakin event bansosnya note bonus currency topup nya agak ditambahin agak mahal soal,Positif,80
Pengguna Google,5,"Mantap sih, banyak character cantik dan imut ⭐5 😋",2025-10-27 15:13:25,0,,,"Mantap sih, banyak character cantik dan imut ⭐5 😋",mantap sih banyak character cantik imut,Positif,9
Pengguna Google,4,kurangi harga gacha,2025-10-27 15:11:31,0,,,hingga harga yang sama,kurang harga gacha,Positif,4
Pengguna Google,5,"Game nya bagus Grafik bagus, desain karakter nya bagus banget, kalau sistem Gacha nya sih gw saranin jangan sampai 3000 10x gacha soalnya terlalu besar itu, dan dari gameplay ini game ini sih yang paling gw suka😁👍",2025-10-27 15:08:10,0,,,"Game nya bagus Grafik bagus, desain karakter nya bagus banget, kalau sistem Gacha nya sih gw saranin jangan sampai 3000 10x gacha soalnya terlalu besar itu, dan dari gameplay ini game ini sih yang paling gw suka😁👍",game nya bagus grafik bagus desain karakter nya bagus banget kalau sistem gacha nya sih gw saranin jangan x gacha soal terlalu besar dan gameplay game sih paling gw suka,Positif,37
Pengguna Google,1,"game apaan ini misinya dikit bangt, mana gacha nya harus 300 per 1X pity 120 waw, BA aja pity 200 pyro nya gak pelit ini apa wa KIKIR",2025-10-27 15:04:56,0,,,"game apaan ini misinya dikit bangt, mana gacha nya harus 300 per 1X pity 120 waw, BA aja pity 200 pyro nya gak pelit ini apa wa KIKIR",game apa misi dikit bangt mana gacha nya per x pity waw ba aja pity pyro nya gak pelit apa wa kikir,Negatif,28
Pengguna Google,5,"Wow game ini sangat baik karena memberikan bansos sebanyak 12,8k gems serta 20tiket gacha yang bisa membantu ku untuk mendapatkan shia, terimakasih ya game baik",2025-10-27 15:04:35,0,,,"Wow game ini sangat baik karena memberikan bansos sebanyak 12,8k gems serta 20tiket gacha yang bisa membantu ku untuk mendapatkan shia, terimakasih ya game baik",wow game sangat baik beri bansos banyak k gems tiket gacha bisa bantu ku dapat shia terimakasih game baik,Positif,25
Pengguna Google,5,"moga tahan lama aja ni game, seru soalnya",2025-10-27 15:04:01,0,,,"moga tahan lama aja ni game, seru soalnya",moga tahan lama aja ni game seru soal,Positif,8
Pengguna Google,5,lucu lucu charnya,2025-10-27 14:57:13,0,,,lucu lucu charnya,lucu lucu charnya,Positif,3
Pengguna Google,5,mantap,2025-10-27 14:56:02,1,,,padat,mantap,Positif,1
Pengguna Google,4,"Plis perbanyak currency di dalam gamenya, terlalu banyak yang dibutuhkan untuk gacha",2025-10-27 14:52:23,0,,,"Plis perbanyak currency di dalam gamenya, terlalu banyak yang dibutuhkan untuk gacha",plis banyak currency dalam gamenya terlalu banyak butuh gacha,Positif,12
