username,rating,text,date,thumbsUp,replyContent,replyDate,translated_text,clean_text
Pengguna Google,5,bagus ROUGEKILL,2025-10-27 16:47:42,0,,,bagus ROUGEKILL,bagus ROUGEKILL
Pengguna Google,5,game keren udah ga kikir,2025-10-27 16:24:45,0,,,game keren udah ga kikir,game keren udah ga kikir
Pengguna Google,5,bagus,2025-10-27 16:11:57,0,,,bagus,bagus
Pengguna Google,1,akhirnya berbenah 🤏,2025-10-27 16:08:43,0,,,akhirnya berbenah 🤏,akhirnya berbenah 🤏
Pengguna Google,4,"gacha mahal, kontrol agak ngelag UI, gameplay, animasi, skill, desain, pergerakan, tampilan udah bagus",2025-10-27 15:55:27,0,,,"gacha mahal, kontrol agak ngelag UI, gameplay, animasi, skill, desain, pergerakan, tampilan udah bagus","gacha mahal, kontrol agak ngelag UI, gameplay, animasi, skill, desain, pergerakan, tampilan udah bagus"
Pengguna Google,5,"gamenya keren cuy, gachanya walaupun lumayan mahal tapi gampang dapetin char barunya",2025-10-27 15:29:04,0,,,"gamenya keren cuy, gachanya walaupun lumayan mahal tapi gampang dapetin char barunya","gamenya keren cuy, gachanya walaupun lumayan mahal tapi gampang dapetin char barunya"
Pengguna Google,4,"lagging di battle doang, tapi di lobby lancar jaya, ba malah lag di lobby lancar di battle🤣🤣",2025-10-27 15:28:59,0,,,"lagging di battle doang, tapi di lobby lancar jaya, ba malah lag di lobby lancar di battle🤣🤣","lagging di battle doang, tapi di lobby lancar jaya, ba malah lag di lobby lancar di battle🤣🤣"
Pengguna Google,3,perbaiki sistem gachanya,2025-10-27 15:18:48,0,,,perbaiki sistem gachanya,perbaiki sistem gachanya
Pengguna Google,4,"overall semua yang ada di game udh bagus seperti UI mudah, tutorialnya jelas, gameplay simple dan menantang dan storynya cukup menarik. jadi, saya beri nilai 8/10. untuk player f2p sistem gacha di game ini agak berat ya, karena pity rate on nya cukup tinggi jadi harus benar-benar paham karakter apa yg cocok untuk di tim. semoga kedepannya developer mendengar keluhan ini, dengan dibanyakin event dan bansosnya. note : tolong bonus currency dari topup nya agak ditambahin ya, agak mahal soalnya.",2025-10-27 15:17:57,0,,,"overall semua yang ada di game udh bagus seperti UI mudah, tutorialnya jelas, gameplay simple dan menantang dan storynya cukup menarik. jadi, saya beri nilai 8/10. untuk player f2p sistem gacha di game ini agak berat ya, karena pity rate on nya cukup tinggi jadi harus benar-benar paham karakter apa yg cocok untuk di tim. semoga kedepannya developer mendengar keluhan ini, dengan dibanyakin event dan bansosnya. note : tolong bonus currency dari topup nya agak ditambahin ya, agak mahal soalnya.","overall semua yang ada di game udh bagus seperti UI mudah, tutorialnya jelas, gameplay simple dan menantang dan storynya cukup menarik. jadi, saya beri nilai 8/10. untuk player f2p sistem gacha di game ini agak berat ya, karena pity rate on nya cukup tinggi jadi harus benar-benar paham karakter apa yg cocok untuk di tim. semoga kedepannya developer mendengar keluhan ini, dengan dibanyakin event dan bansosnya. note : tolong bonus currency dari topup nya agak ditambahin ya, agak mahal soalnya."
Pengguna Google,5,"Mantap sih, banyak character cantik dan imut ⭐5 😋",2025-10-27 15:13:25,0,,,"Mantap sih, banyak character cantik dan imut ⭐5 😋","Mantap sih, banyak character cantik dan imut ⭐5 😋"
Pengguna Google,4,kurangi harga gacha,2025-10-27 15:11:31,0,,,hingga harga yang sama,hingga harga yang sama
